TYPE;CONF_PATH;VERSION
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/abbrev/package.json;1.0.9
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/accepts/package.json;1.2.13
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/acorn-globals/package.json;1.0.9
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/acorn/package.json;2.7.0
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/active-x-obfuscator/package.json;version
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/active-x-obfuscator/package.json;0.0.1
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/align-text/package.json;0.1.4
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/alter/package.json;0.2.0
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/amdefine/package.json;1.0.1
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/ansi-color/package.json;0.2.1
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/ansi-regex/package.json;0.2.1
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/ansi-styles/package.json;1.1.0
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/anymatch/package.json;1.0.0
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/anysort/package.json;1.0.1
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/archy/package.json;version
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/archy/package.json;0.0.2
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/argparse/package.json;1.0.10
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/array-filter/package.json;0.0.1
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/array-map/package.json;0.0.0
