TYPE;CONF_PATH;VERSION
NPM;/opt/centrale-datacore/Development/Module_FloodProtection/NodeJS/Module/floodprotection/node_modules/util/package.json;0.10.3
NPM;/opt/centrale-datacore/Development/Module_TokenGenerator/NodeJS/Module/token_generator/node_modules/jwt-simple/package.json;0.5.1
NPM;/opt/centrale-datacore/Development/Module_TokenGenerator/NodeJS/Module/token_generator/node_modules/node.extend/package.json;2.0.0
NPM;/opt/centrale-datacore/Development/Module_TokenGenerator/NodeJS/Module/token_generator/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Module_ToolBox/NodeJS/Module/toolbox/node_modules/request/package.json;2.58.0
NPM;/opt/centrale-datacore/Development/Module_ToolBox/NodeJS/Module/toolbox/node_modules/sha512/package.json;0.0.1
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/NodeJS/Module/webservicecore/node_modules/body-parser/package.json;1.18.2
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/NodeJS/Module/webservicecore/node_modules/connect-timeout/package.json;1.9.0
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/NodeJS/Module/webservicecore/node_modules/express/package.json;4.16.2
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/NodeJS/Module/webservicecore/node_modules/jwt-simple/package.json;0.5.1
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/NodeJS/Module/webservicecore/node_modules/node.extend/package.json;2.0.0
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/NodeJS/Module/webservicecore/node_modules/password-hash/package.json;1.2.2
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/MongoDB/node_modules/hashmap/package.json;2.0.1
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/MongoDB/node_modules/jwt-simple/package.json;0.3.0
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/MongoDB/node_modules/moment/package.json;2.9.0
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/MongoDB/node_modules/node.extend/package.json;1.1.3
NPM;/opt/centrale-datacore/Development/Module_WebServiceCore/UnitTests/MongoDB/node_modules/password-hash/package.json;1.2.2
